(254, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', '1', '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, '0', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', '1', '0', '1', None, None, None, '0', None, None, None, None, '1', '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None)
(255, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, '1', '1', '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '0', None, None, None, None, None, None)
(256, None, None, None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', '0', '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', '1', None, '1', None, '1', None, None, '1', '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None)
(259, '1', '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, '1', None, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None)
(260, '1', None, None, None, None, None, None, None, '1', None, '1', '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, '0', None, None, None, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, '1', '1', '0', None, None, None)
(261, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', '1', None, None, None, None, None, None, '1', '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '0', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '0', '1', None, None, None, None, None)
(262, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, None, '0', None, None, None, None, '1', '1', None, None, None, None, None, None, None, None, None, '0', None, '0', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, '1', None, None)
(265, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', '1', None, '0', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, '1', None, '1', '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, '1', '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, '1', None)
(266, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, '1', '1', None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, '1', None, None, None, '1', None, None, None, '1', None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, '0', None, None, None, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None)
(267, None, None, None, '0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', '1', None, '1', None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', '1', None, '1', None, None, None, '1', None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, '1', None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, None, None, None, None, None, None, None, '1', None, None, None, None, None, '1', None, None, None, None, None)
